date,Co2 and Coal consumption (Million Tonnes),Real GDP per Capita (2013 Pounds)
1850,129,
1851,123,
1852,122,
1853,122,
1854,147,
1855,138,
1856,148,
1857,145,
1858,143,
1859,158,
1860,177,
1861,185,
1862,179,
1863,190,
1864,205,
1865,217,
1866,223,
1867,229,
1868,225,
1869,236,
1870,241,
1871,255,
1872,269,
1873,279,
1874,271,
1875,286,
1876,286,
1877,291,
1878,286,
1879,288,
1880,313,
1881,330,
1882,332,
1883,346,
1884,337,
1885,333,
1886,330,
1887,338,
1888,352,
1889,364,
1890,372,
1891,380,
1892,372,
1893,334,
1894,382,
1895,386,
1896,397,
1897,407,
1898,408,
1899,437,
1900,443,
1901,433,
1902,450,
1903,454,
1904,456,
1905,462,
1906,478,
1907,500,
1908,487,
1909,492,
1910,496,
1911,508,
1912,481,
1913,526,
1914,510,
1915,516,
1916,535,
1917,529,
1918,493,
1919,481,
1920,496,
1921,337,
1922,452,
1923,480,
1924,502,
1925,474,
1926,260,
1927,492,
1928,462,
1929,486,
1930,465,
1931,435,
1932,418,
1933,414,
1934,447,
1935,453,
1936,479,
1937,494,
1938,474,
1939,477,
1940,501,
1941,496,
1942,495,
1943,480,
1944,466,
1945,441,
1946,460,
1947,487,
1948,502,
1949,512,
1950,528,
1951,575,
1952,558,
1953,570,
1954,583,
1955,608,
1956,606,
1957,602,
1958,587,
1959,577,
1960,616,
1961,621,
1962,625,
1963,637,
1964,641,
1965,656,
1966,652,
1967,625,
1968,640,
1969,661,
1970,685,
1971,667,
1972,649,
1973,682,
1974,642,
1975,620,
1976,626,
1977,636,
1978,633,
1979,667,
1980,610,
1981,600,
1982,579,
1983,578,
1984,561,
1985,586,
1986,601,
1987,606,
1988,606,
1989,594,
1990,596.3,
1991,603.6,
1992,587.3,
1993,572.8,
1994,568.8,
1995,560.1,
1996,580.9,
1997,554.1,
1998,558.4,
1999,552,
2000,558.3,
2001,566.7,
2002,549.8,
2003,561,
2004,561.8,
2005,557.9,
2006,554.8,
2007,545.9,
2008,531.1,
2009,480.8,
2010,498.3,
2011,455.6,
2012,474.2,
2013,464,
2014,424.9,
2015,408.3,
2016,385.8,
