date,Co2 and Coal consumption (Million Tonnes),Real GDP per Capita (2013 Pounds)
1850,,2707
1851,,2803
1852,,2863
1853,,2934
1854,,3014
1855,,2964
1856,,3077
1857,,3069
1858,,3031
1859,,3124
1860,,3164
1861,,3193
1862,,3126
1863,,3249
1864,,3254
1865,,3371
1866,,3376
1867,,3361
1868,,3453
1869,,3490
1870,,3721
1871,,3889
1872,,3859
1873,,3837
1874,,3948
1875,,3939
1876,,3908
1877,,3896
1878,,3844
1879,,3733
1880,,3950
1881,,4011
1882,,4038
1883,,4116
1884,,4028
1885,,3946
1886,,3918
1887,,4046
1888,,4145
1889,,4237
1890,,4236
1891,,4323
1892,,4165
1893,,4079
1894,,4231
1895,,4322
1896,,4447
1897,,4460
1898,,4623
1899,,4742
1900,,4689
1901,,4743
1902,,4769
1903,,4669
1904,,4683
1905,,4792
1906,,4863
1907,,4933
1908,,4689
1909,,4753
1910,,4842
1911,,4968
1912,,5032
1913,,5223
1914,,5278
1915,,5536
1916,,5578
1917,,5534
1918,,5647
1919,,5215
1920,,4880
1921,,4383
1922,,4571
1923,,4681
1924,,4869
1925,,5024
1926,,4847
1927,,5201
1928,,5225
1929,,5362
1930,,5301
1931,,5035
1932,,5010
1933,,5149
1934,,5439
1935,,5615
1936,,5857
1937,,6035
1938,,6056
1939,,6287
1940,,6844
1941,,7441
1942,,7546
1943,,7614
1944,,7246
1945,,6891
1946,,6717
1947,,6588
1948,,6733
1949,,6919
1950,,7114
1951,,7420
1952,,7517
1953,,7909
1954,,8221
1955,,8505
1956,,8603
1957,,8725
1958,,8798
1959,,9106
1960,,9600
1961,,9776
1962,,9794
1963,,10207
1964,,10700
1965,,10855
1966,,10966
1967,,11206
1968,,11762
1969,,11935
1970,,12222
1971,,12580
1972,,13080
1973,,13902
1974,,13555
1975,,13355
1976,,13748
1977,,14093
1978,,14687
1979,,15219
1980,,14885
1981,,14762
1982,,15077
1983,,15706
1984,,16037
1985,,16666
1986,,17152
1987,,18033
1988,,19039
1989,,19476
1990,,19560
1991,,19274
1992,,19294
1993,,19733
1994,,20448
1995,,20901
1996,,21383
1997,,21995
1998,,22634
1999,,23294
2000,,24083
2001,,24645
2002,,25128
2003,,25881
2004,,26397
2005,,26973
2006,,27460
2007,,27936
2008,,27534
2009,,26158
2010,,26447
2011,,26623
2012,,26794
2013,,27136
2014,,27756
2015,,28142
2016,,28448
