date,category,series,chiffre
week 1,Other communal establishment,5 year average,43
week 2,Other communal establishment,5 year average,49
week 3,Other communal establishment,5 year average,46
week 4,Other communal establishment,5 year average,46
week 5,Other communal establishment,5 year average,40
week 6,Other communal establishment,5 year average,37
week 7,Other communal establishment,5 year average,43
week 8,Other communal establishment,5 year average,41
week 9,Other communal establishment,5 year average,39
week 10,Other communal establishment,5 year average,35
week 11,Other communal establishment,5 year average,38
week 12,Other communal establishment,5 year average,45
week 13,Other communal establishment,5 year average,38
week 14,Other communal establishment,5 year average,37
week 15,Other communal establishment,5 year average,39
week 16,Other communal establishment,5 year average,36
week 17,Other communal establishment,5 year average,34
week 18,Other communal establishment,5 year average,34
week 19,Other communal establishment,5 year average,30
week 20,Other communal establishment,5 year average,33
week 21,Other communal establishment,5 year average,33
week 22,Other communal establishment,5 year average,33
week 23,Other communal establishment,5 year average,32
week 24,Other communal establishment,5 year average,32
week 25,Other communal establishment,5 year average,33
week 26,Other communal establishment,5 year average,35
week 27,Other communal establishment,5 year average,27
week 28,Other communal establishment,5 year average,29
week 29,Other communal establishment,5 year average,33
week 30,Other communal establishment,5 year average,30
week 31,Other communal establishment,5 year average,30
week 32,Other communal establishment,5 year average,35
week 33,Other communal establishment,5 year average,33
week 34,Other communal establishment,5 year average,32
week 35,Other communal establishment,5 year average,32
week 36,Other communal establishment,5 year average,31
week 37,Other communal establishment,5 year average,30
week 38,Other communal establishment,5 year average,31
week 39,Other communal establishment,5 year average,33
week 40,Other communal establishment,5 year average,33
week 41,Other communal establishment,5 year average,31
week 42,Other communal establishment,5 year average,33
week 43,Other communal establishment,5 year average,38
week 44,Other communal establishment,5 year average,42
week 45,Other communal establishment,5 year average,33
week 46,Other communal establishment,5 year average,40
week 47,Other communal establishment,5 year average,35
week 48,Other communal establishment,5 year average,34
week 49,Other communal establishment,5 year average,37
week 50,Other communal establishment,5 year average,38
week 51,Other communal establishment,5 year average,41
week 52,Other communal establishment,5 year average,39
week 11,Care home,2020,2471
week 12,Care home,2020,2335
week 13,Care home,2020,2489
week 14,Care home,2020,3769
week 15,Care home,2020,4927
week 11,Elsewhere,2020,249
week 12,Elsewhere,2020,238
week 13,Elsewhere,2020,225
week 14,Elsewhere,2020,272
week 15,Elsewhere,2020,301
week 11,Home,2020,2725
week 12,Home,2020,2709
week 13,Home,2020,2786
week 14,Home,2020,3865
week 15,Home,2020,4117
week 11,Hospice,2020,553
week 12,Hospice,2020,551
week 13,Hospice,2020,504
week 14,Hospice,2020,544
week 15,Hospice,2020,510
week 11,Hospital,2020,4975
week 12,Hospital,2020,4770
week 13,Hospital,2020,5105
week 14,Hospital,2020,7884
week 15,Hospital,2020,8578
week 11,Other communal establishment,2020,44
week 12,Other communal establishment,2020,43
week 13,Other communal establishment,2020,33
week 14,Other communal establishment,2020,53
week 15,Other communal establishment,2020,83
