date,category,Drowning,Fall and Fracture,"Hanging, strangulation and suffocation",Jumping or lying before moving object,Other,Poisoning,Sharp object
2001,10 to 24,2.5,5.1,45.9,5.4,13.6,25.9,1.6
2001,25 to 44,3.5,3.2,42.9,4,9.7,34.8,1.8
2001,45 to 64,6.6,3.1,36,2.9,13.2,36.2,2
2001,65 to 74,14.6,2.6,32.6,3.1,11.8,33.8,1.5
2001,75 and over,8,2.6,34.4,0.9,15.8,35.4,2.8
2002,10 to 24,3.4,7,54.9,4.4,9.3,20.5,0.4
2002,25 to 44,3.9,3.5,45.1,3.5,10.1,32,1.9
2002,45 to 64,6.1,2.5,39.7,4.2,11.6,32.7,3.3
2002,65 to 74,12.4,4.2,30.6,3.4,14.3,32.6,2.5
2002,75 and over,8.4,2.3,31.6,1.8,16.7,37.3,1.8
2003,10 to 24,5,4.6,50.2,6.3,12.9,19.4,1.5
2003,25 to 44,3.2,4.1,43.9,3.2,11.3,31.7,2.5
2003,45 to 64,5.3,3.2,39.3,4.2,10.7,35,2.4
2003,65 to 74,9.6,3.1,31.3,2.1,17.6,31.1,5.2
2003,75 and over,11,2.9,32,0.4,17.2,32.4,4
2004,10 to 24,2.1,4.5,55.2,4.8,14,18.6,0.8
2004,25 to 44,2.8,3.3,50.3,3.7,8.3,29.1,2.5
2004,45 to 64,6.7,3.2,38.3,3.9,11,33.3,3.6
2004,65 to 74,8.2,2.5,42.9,1.6,10.7,31.6,2.5
2004,75 and over,10.9,3.4,27.5,2.3,19,32.6,4.3
2005,10 to 24,1.9,3.9,56.7,5.3,11.3,19.7,1.2
2005,25 to 44,3,2.9,51.6,3.8,9,27.4,2.2
2005,45 to 64,5.9,3.9,41.1,3.8,11.6,30.8,2.8
2005,65 to 74,11,3.8,38.8,4.1,13,27.2,2
2005,75 and over,10,1.6,33.1,1.3,17.1,31.2,5.8
2006,10 to 24,2.5,3.2,60.5,5.9,9.8,16.2,2
2006,25 to 44,3.7,3.9,49.3,4.9,10.5,25.6,2.2
2006,45 to 64,5.8,3.9,42.4,5.1,12.1,26.8,3.8
2006,65 to 74,8.5,3.7,42.7,5.1,12.5,24.5,2.8
2006,75 and over,7.2,1.9,35.3,2.2,17.5,31.4,4.4
2007,10 to 24,4.6,4.3,65.3,4.6,7.5,13.3,0.5
2007,25 to 44,2.9,3.8,54.4,5.6,8.8,22.2,2.3
2007,45 to 64,5.5,4,46.6,3.5,9.8,27.8,2.8
2007,65 to 74,8.6,5.1,37.8,4.4,15.2,23.5,5.4
2007,75 and over,7.7,3.3,37.5,1.4,15.4,30.9,3.9
2008,10 to 24,4.1,5.4,66.1,5.6,7.6,10.3,0.8
2008,25 to 44,3.4,3.9,57.1,3.7,8.2,21.2,2.5
2008,45 to 64,5.1,3.6,47.6,4.5,9.7,26.6,2.9
2008,65 to 74,6.5,1.7,42,4.8,13.8,26.2,5.1
2008,75 and over,8.6,3.8,35.4,1.4,18.1,30.5,2.2
2009,10 to 24,2.8,3.3,65.9,5.2,8.8,12.6,1.4
2009,25 to 44,2.7,2.8,56.4,4.6,8.2,22.8,2.4
2009,45 to 64,4.8,3.7,44.9,4.7,12.3,26.3,3.2
2009,65 to 74,7.2,1.8,43.4,4.2,13.8,24.9,4.8
2009,75 and over,12.2,4.1,36.2,2,16.5,26.4,2.6
2010,10 to 24,2.1,4.1,65,6,9.4,13,0.4
2010,25 to 44,2.3,3.3,58.7,4.1,7.8,21.9,2
2010,45 to 64,4.3,2.9,48.6,5.3,9.8,25.6,3.7
2010,65 to 74,7,1.8,48,4.4,14.3,19.9,4.7
2010,75 and over,7.8,3.2,39.8,1.3,20.1,24.6,3.2
2011,10 to 24,4.1,3.4,66.8,6.4,5.9,12.3,1.1
2011,25 to 44,2.1,3.8,58.4,4.4,7.3,21.8,2.1
2011,45 to 64,3.6,3.1,48.2,3.6,10.3,27.8,3.5
2011,65 to 74,8.5,1.7,39.1,3.3,16,25.9,5.5
2011,75 and over,10.7,3.1,36.3,1.7,17.5,26.8,3.9
2012,10 to 24,3.8,3.8,65.9,6.6,7.6,11.8,0.4
2012,25 to 44,2.5,2.4,60.3,4.7,6.4,21.1,2.6
2012,45 to 64,4,3,52.2,4,9.5,24.9,2.6
2012,65 to 74,7.5,3.6,49.4,3.4,9.7,22.1,4.1
2012,75 and over,10,4.4,41.2,2.2,15.6,23.2,3.4
2013,10 to 24,4.6,6,64.4,6.9,6.2,11.3,0.7
2013,25 to 44,2.7,3.9,57,4.7,6.7,23,2
2013,45 to 64,3.2,3,50.8,5.5,8.3,24.9,4.3
2013,65 to 74,6,3.2,45.5,3.2,15.5,22.9,3.7
2013,75 and over,8.3,3.3,37.6,2.3,17.2,27.3,4
2014,10 to 24,3.7,6,60.4,11.2,5.8,11.6,1.3
2014,25 to 44,2.9,3.6,60.6,5.9,5.7,19.3,2.2
2014,45 to 64,3.8,4,53.8,4.5,7.9,23.3,2.7
2014,65 to 74,7.2,4.3,43.4,6,10.8,24.7,3.6
2014,75 and over,9.7,4,38.9,3.3,18.5,22.5,3.1
2015,10 to 24,3,5.8,64.7,8.5,5.6,11.7,0.8
2015,25 to 44,2.7,3.4,63.3,5.6,4.7,17.7,2.5
2015,45 to 64,4.4,3,54.2,4,7.2,24.1,3.1
2015,65 to 74,8.2,4,37.8,6.1,14.1,25.8,4
2015,75 and over,11,3.3,36.9,1.3,19.7,23.8,3.8
2016,10 to 24,2.2,6.9,64.7,7.7,4.9,12.6,1
2016,25 to 44,2.5,3.3,64.2,3.7,5.7,18.4,2.1
2016,45 to 64,3.8,3,53.7,4.1,7.2,24.8,3.4
2016,65 to 74,8.1,2.7,40,5.7,11.8,28.1,3.6
2016,75 and over,7.4,3.7,40.3,2.4,17.6,26.3,2.4
2017,10 to 24,2.6,4.9,67,8,5.2,11.5,0.7
2017,25 to 44,3.1,4.3,63.5,5,4.8,17.4,1.9
2017,45 to 64,3.6,3.2,53.1,4.3,6.6,24.9,4.3
2017,65 to 74,7.1,3.8,43.7,4.5,9.5,27,4.5
2017,75 and over,10,1.7,35.8,2.7,15.9,29.9,3.9
2018,10 to 24,3.2,5.5,69.9,5.3,4.8,10.4,1.1
2018,25 to 44,2.2,3,64.1,4.2,4.9,19.4,2.2
