name,2014 FDI,2015 FDI,2016 FDI,2017 FDI,2014 Ultimate Position,2015 Ultimate Position,2016 Ultimate Position,2017 Ultimate Position
United States,324,355.5,413.8,596.5,1,1,1,1
Netherlands,101.5,89.7,93.3,81.5,2,2,2,4
France,95.1,81.6,79.8,87,3,3,4,3
Germany,67.8,78.9,77.6,93.8,4,4,5,2
Japan,43.6,45.8,52,81.3,5,5,6,5
Switzerland,41.3,39.3,46,44,6,6,7,7
Canada,39.3,21.6,23.7,23.8,7,10,13,12
United Kingdom,36.7,23.1,32,36.9,8,9,10,9
Spain,32.9,37.5,..,39.1,9,7,9,8
Jersey,28.6,32.7,24.1,54.9,10,8,11,6
Luxembourg,16.1,16.3,43.6,27.3,13,16,8,11
Bermuda,10.3,15.1,10.9,28.9,17,17,17,10
Belgium,7.8,11.1,..,4.9,21,19,3,26
