name,time1value,time2value,time3value,time4value,time5value,time1rank,time2rank,time3rank,time4rank,time5rank
United States,4,3,1,1,1,4,3,1,1,1
Hong Kong,3,4,3,2,2,3,4,3,2,2
Netherlands,2,1,2,3,3,2,1,2,3,3
Jersey,8,7,5,4,4,8,7,5,4,4
Luxembourg,5,5,8,6,5,5,5,8,6,5
Spain,6,6,25,5,6,6,6,13,5,6
France,1,2,4,8,7,1,2,4,8,7
Barbados,67,67,64,7,8,14,14,14,7,8
Canada,12,12,10,11,9,13,13,10,12,9
Japan,11,11,9,9,10,12,12,9,9,10
Bermuda,9,9,7,10,11,9,9,7,10,12
British Virgin Islands,10,10,12,15,15,10,10,12,13,13
Germany,7,8,6,17,16,7,8,6,14,14
