from,to,count
-90,-81,1230
-81,-73,1647
-73,-65,2360
-65,-57,2469
-57,-49,3875
-49,-40,7643
-40,-32,9816
-32,-24,19140
-24,-16,38338
-16,-8,68535
-8,0,140100
0,8,463420
8,16,312804
16,24,226330
24,32,183819
32,41,178701
41,49,155230
49,57,138441
57,65,123470
65,74,141673
74,82,135757
82,90,90863
90,98,93265
98,106,110773
106,114,104126
114,123,79199
123,131,81829
131,139,80753
139,147,62843
147,155,53035
155,164,53383
164,172,40612
172,180,29316
180,188,20645
188,197,22691
197,205,34781
205,213,20372
213,221,16572
221,229,24216
229,238,18217
238,246,14073
246,254,12700
254,262,14379
262,270,11234
270,278,9916
278,287,11507
287,295,12309
295,303,9503
303,311,8325
311,319,9631
319,328,16913
328,336,8364
336,344,8973
344,352,16632
352,360,8402
360,369,8426
369,377,7613
377,385,7846
385,393,6833
393,401,5712
401,410,9792
410,418,9548
418,426,7592
426,434,8993
434,443,10307
443,451,8438
451,459,3803
459,467,4379
467,475,4695
475,484,3577
484,492,3843
492,500,6685
500,508,6988
508,516,3858
516,525,7001
525,533,6762
533,541,2815
541,549,2395
549,557,2138
557,566,2766
566,574,2938
574,582,2145
582,590,2677
590,598,3767
598,606,2069
606,615,1834
615,623,1719
623,631,1907
631,639,1667
639,647,1629
647,656,2049
656,664,1648
664,672,1511
672,680,1572
680,688,1728
688,697,2109
697,705,1416
705,713,1779
713,721,2707
721,730,1584
