yvals,NE,NW,YH,EM,WM,EE,LN,SE,SW,WA,SC
"Manufacturing, maintenance & repair",9.1,19.5,5.1,5,5,5.1,6.3,30.4,6.6,2.9,4.9
Construction,12.3,6.2,6.9,3.6,4.3,5.1,23.2,16.5,5.2,0.9,15.9
Charges for intellectual property,1.4,9.6,1.9,1.5,1.5,9.8,52,16,2.9,2.1,1.4
"Telecom, computer, and info services",1,3.3,2.7,2.9,4.1,4.1,49.7,23.3,4.9,0.6,3.4
Research and development services,1.4,3.7,2.4,6.6,2.7,18.4,13.2,41.4,3.1,1.4,5.9
Professional & management consulting,1,4.4,2,2.3,2.3,4.4,62.3,13.5,3,1.4,3.3
Technical services,1.1,6,1.8,1.9,1.8,5,13.6,32.2,12,6.4,18.1
