date,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,
01/02/2020,29.5,34.8,37,14902,6629,94.9,100,30649,null,407,20190,
02/02/2020,25.1,34.3,36,15116,6140,97.1,100,30570,null,423,22100,
03/02/2020,22.2,43,40,13052,5371,88,99.9,31917,null,434,17840,
04/02/2020,18.8,47.7,37,14034,6239,91.6,99.8,29315,null,354,13690,
05/02/2020,15.5,49.5,41,13268,5411,97.2,99.7,14761,null,445,15900,
06/02/2020,13.6,53.9,44,15207,6418,87.8,99.4,6622,null,434,13950,
07/02/2020,11.1,57.2,49,12194,5444,85.3,99.3,4521,null,462,18660,
08/02/2020,9.4,58.9,48,8770,5461,74.5,99.2,5030,null,406,18550,
09/02/2020,9.3,59.3,50,9758,5378,63,99.6,5432,null,186,18130,
10/02/2020,7.7,61.9,53,7328,3601,57.3,99.6,6838,null,278,20880,
11/02/2020,8.8,60.4,54,9372,3631,48.5,99.4,6368,null,250,null,
12/02/2020,null,null,51,9707,4124,41.4,99.2,9934,null,343,null,
13/02/2020,null,null,55,11306,4836,38.2,98.9,14685,null,392,null,
14/02/2020,null,null,55,9989,4552,38.3,98.8,16161,null,384,null,
15/02/2020,null,null,57,14525,4499,35.2,98.7,22516,null,310,null,
16/02/2020,null,null,62,14108,4637,36.5,98.5,31812,null,276,null,
17/02/2020,null,null,64,14464,3856,37.1,98.8,30010,null,308,null,
18/02/2020,null,null,59,17193,4860,37.6,99.3,28621,null,354,null,
19/02/2020,null,null,61,18575,4601,41.8,99.4,28811,null,386,null,
20/02/2020,null,null,65,17574,5312,41.4,99.4,29815,null,347,null,
21/02/2020,null,null,60,16955,4521,43.2,99.3,30237,null,348,null,
22/02/2020,null,null,59,18066,4775,39.7,99.1,30356,null,326,null,
23/02/2020,null,null,56,18661,4642,40.7,98.9,29209,null,374,null,
24/02/2020,null,null,58,16849,4642,44.5,null,29537,null,350,null,
25/02/2020,null,null,null,17134,4489,44,null,30653,null,374,null,
26/02/2020,null,null,null,17360,4579,45.6,null,30875,null,380,null,
27/02/2020,null,null,null,16658,4522,54.1,null,28818,null,441,null,
28/02/2020,null,null,null,15012,4325,54.4,null,26208,null,393,null,
29/02/2020,null,null,null,16966,4142,54.5,null,31050,null,347,null,
01/03/2020,null,null,null,15331,4248,55.1,null,31182,104,332,null,
02/03/2020,null,null,null,15343,4282,50.1,null,31522,103,426,null,
03/03/2020,null,null,null,15417,5018,53.5,null,31538,102,415,null,
04/03/2020,null,null,null,17347,4698,55.1,null,31715,101,418,null,
05/03/2020,null,null,null,17359,5399,59.4,null,31196,100,401,null,
06/03/2020,null,null,null,17940,6198,61.2,null,31211,102,439,null,
