date,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,
07/03/2020,null,null,null,18420,4993,62.8,null,32896,102,405,null,
08/03/2020,null,null,null,16821,4974,65.6,null,28767,106,377,null,
09/03/2020,null,null,null,15268,4528,69.7,null,null,103,368,null,
10/03/2020,null,null,null,15890,5410,69.7,null,null,101,353,null,
11/03/2020,null,null,null,16303,5601,66.8,null,null,100,372,null,
12/03/2020,null,null,null,null,null,null,null,null,99,291,null,
13/03/2020,null,null,null,null,null,null,null,null,98,351,null,
14/03/2020,null,null,null,null,null,null,null,null,95,391,null,
15/03/2020,null,null,null,null,null,null,null,null,96,370,null,
16/03/2020,null,null,null,null,null,null,null,null,98,430,null,
17/03/2020,null,null,null,null,null,null,null,null,89,408,null,
18/03/2020,null,null,null,null,null,null,null,null,83,402,null,
19/03/2020,null,null,null,null,null,null,null,null,82,389,null,
20/03/2020,null,null,null,null,null,null,null,null,81,374,null,
21/03/2020,null,null,null,null,null,null,null,null,73,320,null,
22/03/2020,null,null,null,null,null,null,null,null,69,314,null,
23/03/2020,null,null,null,null,null,null,null,null,69,349,null,
24/03/2020,null,null,null,null,null,null,null,null,49,362,null,
25/03/2020,null,null,null,null,null,null,null,null,42,345,null,
26/03/2020,null,null,null,null,null,null,null,null,39,333,null,
27/03/2020,null,null,null,null,null,null,null,null,38,345,null,
28/03/2020,null,null,null,null,null,null,null,null,30,310,null,
29/03/2020,null,null,null,null,null,null,null,null,25,258,null,
30/03/2020,null,null,null,null,null,null,null,null,36,280,null,
31/03/2020,null,null,null,null,null,null,null,null,36,323,null,
01/04/2020,null,null,null,null,null,null,null,null,35,315,null,
02/04/2020,null,null,null,null,null,null,null,null,35,275,null,
03/04/2020,null,null,null,null,null,null,null,null,36,306,null,
04/04/2020,null,null,null,null,null,null,null,null,31,298,null,
05/04/2020,null,null,null,null,null,null,null,null,27,303,null,
06/04/2020,null,null,null,null,null,null,null,null,37,300,null,
07/04/2020,null,null,null,null,null,null,null,null,36,312,null,
08/04/2020,null,null,null,null,null,null,null,null,37,293,null,
09/04/2020,null,null,null,null,null,null,null,null,39,302,null,
10/04/2020,null,null,null,null,null,null,null,null,27,262,null,
11/04/2020,null,null,null,null,null,null,null,null,31,295,null,
12/04/2020,null,null,null,null,null,null,null,null,24,314,null,
13/04/2020,null,null,null,null,null,null,null,null,23,234,null,
14/04/2020,null,null,null,null,null,null,null,null,38,273,null,
15/04/2020,null,null,null,null,null,null,null,null,38,309,null,
16/04/2020,null,null,null,null,null,null,null,null,38,299,null,
17/04/2020,null,null,null,null,null,null,null,null,39,314,null,
18/04/2020,null,null,null,null,null,null,null,null,33,273,null,
19/04/2020,null,null,null,null,null,null,null,null,32,325,null,
20/04/2020,null,null,null,null,null,null,null,null,41,290,null,
21/04/2020,null,null,null,null,null,null,null,null,41,265,null,
22/04/2020,null,null,null,null,null,null,null,null,41,265,null,
23/04/2020,null,null,null,null,null,null,null,null,41,281,null,
24/04/2020,null,null,null,null,null,null,null,null,42,289,null,
25/04/2020,null,null,null,null,null,null,null,null,38,314,null,
26/04/2020,null,null,null,null,null,null,null,null,35,292,null,
27/04/2020,null,null,null,null,null,null,null,null,44,276,null,
28/04/2020,null,null,null,null,null,null,null,null,42,297,null,
29/04/2020,null,null,null,null,null,null,null,null,42,271,null,
30/04/2020,null,null,null,null,null,null,null,null,42,261,null,
01/05/2020,null,null,null,null,null,null,null,null,44,268,null,
02/05/2020,null,null,null,null,null,null,null,null,40,283,null,
03/05/2020,null,null,null,null,null,null,null,null,37,297,null,
04/05/2020,null,null,null,null,null,null,null,null,46,300,null,
05/05/2020,null,null,null,null,null,null,null,null,46,268,null,
06/05/2020,null,null,null,null,null,null,null,null,47,290,null,
07/05/2020,null,null,null,null,null,null,null,null,49,300,null,
08/05/2020,null,null,null,null,null,null,null,null,34,288,null,
09/05/2020,null,null,null,null,null,null,null,null,41,331,null,
10/05/2020,null,null,null,null,null,null,null,null,37,288,null,
11/05/2020,null,null,null,null,null,null,null,null,49,268,null,
12/05/2020,null,null,null,null,null,null,null,null,50,288,null,
13/05/2020,null,null,null,null,null,null,null,null,53,278,null,
14/05/2020,null,null,null,null,null,null,null,null,54,291,null,
15/05/2020,null,null,null,null,null,null,null,null,55,269,null,
16/05/2020,null,null,null,null,null,null,null,null,56,287,null,
17/05/2020,null,null,null,null,null,null,null,null,54,303,null,
18/05/2020,null,null,null,null,null,null,null,null,58,317,null,
19/05/2020,null,null,null,null,null,null,null,null,58,314,null,
20/05/2020,null,null,null,null,null,null,null,null,60,316,null,
21/05/2020,null,null,null,null,null,null,null,null,59,319,null,
22/05/2020,null,null,null,null,null,null,null,null,59,304,null,
23/05/2020,null,null,null,null,null,null,null,null,58,296,null,
24/05/2020,null,null,null,null,null,null,null,null,58,335,null,
25/05/2020,null,null,null,null,null,null,null,null,50,346,null,
26/05/2020,null,null,null,null,null,null,null,null,63,371,null,
27/05/2020,null,null,null,null,null,null,null,null,63,320,null,
28/05/2020,null,null,null,null,null,null,null,null,64,348,null,
29/05/2020,null,null,null,null,null,null,null,null,66,333,null,
30/05/2020,null,null,null,null,null,null,null,null,69,346,null,
31/05/2020,null,null,null,null,null,null,null,null,71,326,null,
01/06/2020,null,null,null,null,null,null,null,null,69,343,null,
02/06/2020,null,null,null,null,null,null,null,null,69,356,null,
03/06/2020,null,null,null,null,null,null,null,null,63,322,null,
04/06/2020,null,null,null,null,null,null,null,null,64,344,null,
05/06/2020,null,null,null,null,null,null,null,null,66,316,null,
06/06/2020,null,null,null,null,null,null,null,null,66,274,null,
07/06/2020,null,null,null,null,null,null,null,null,66,349,null,
08/06/2020,null,null,null,null,null,null,null,null,68,361,null,
09/06/2020,null,null,null,null,null,null,null,null,69,368,null,
10/06/2020,null,null,null,null,null,null,null,null,66,329,null,
11/06/2020,null,null,null,null,null,null,null,null,66,310,null,
12/06/2020,null,null,null,null,null,null,null,null,67,338,null,
13/06/2020,null,null,null,null,null,null,null,null,76,353,null,
14/06/2020,null,null,null,null,null,null,null,null,77,368,null,
15/06/2020,null,null,null,null,null,null,null,null,74,380,null,
16/06/2020,null,null,null,null,null,null,null,null,72,371,null,
17/06/2020,null,null,null,null,null,null,null,null,72,375,null,
18/06/2020,null,null,null,null,null,null,null,null,69,377,null,
19/06/2020,null,null,null,null,null,null,null,null,74,383,null,
20/06/2020,null,null,null,null,null,null,null,null,86,402,null,
21/06/2020,null,null,null,null,null,null,null,null,83,355,null,
22/06/2020,null,null,null,null,null,null,null,null,77,401,null,
23/06/2020,null,null,null,null,null,null,null,null,78,454,null,
24/06/2020,null,null,null,null,null,null,null,null,80,416,null,
25/06/2020,null,null,null,null,null,null,null,null,80,397,null,
26/06/2020,null,null,null,null,null,null,null,null,78,380,null,
27/06/2020,null,null,null,null,null,null,null,null,78,383,null,
28/06/2020,null,null,null,null,null,null,null,null,79,365,null,
29/06/2020,null,null,null,null,null,null,null,null,77,309,null,
30/06/2020,null,null,null,null,null,null,null,null,77,374,null,
01/07/2020,null,null,null,null,null,null,null,null,78,421,null,
02/07/2020,null,null,null,null,null,null,null,null,77,379,null,
03/07/2020,null,null,null,null,null,null,null,null,79,383,null,
04/07/2020,null,null,null,null,null,null,null,null,84,416,null,
05/07/2020,null,null,null,null,null,null,null,null,87,323,null,
06/07/2020,null,null,null,null,null,null,null,null,83,374,null,
07/07/2020,null,null,null,null,null,null,null,null,80,369,null,
08/07/2020,null,null,null,null,null,null,null,null,79,364,null,
09/07/2020,null,null,null,null,null,null,null,null,80,379,null,
10/07/2020,null,null,null,null,null,null,null,null,86,378,null,
11/07/2020,null,null,null,null,null,null,null,null,93,403,null,
12/07/2020,null,null,null,null,null,null,null,null,99,373,null,
13/07/2020,null,null,null,null,null,null,null,null,84,377,null,
14/07/2020,null,null,null,null,null,null,null,null,83,370,null,
15/07/2020,null,null,null,null,null,null,null,null,83,393,null,
16/07/2020,null,null,null,null,null,null,null,null,85,382,null,
17/07/2020,null,null,null,null,null,null,null,null,89,365,null,
18/07/2020,null,null,null,null,null,null,null,null,94,353,null,
19/07/2020,null,null,null,null,null,null,null,null,98,378,null,
20/07/2020,null,null,null,null,null,null,null,null,88,373,null,
21/07/2020,null,null,null,null,null,null,null,null,87,426,null,
22/07/2020,null,null,null,null,null,null,null,null,85,362,null,
23/07/2020,null,null,null,null,null,null,null,null,84,395,null,
24/07/2020,null,null,null,null,null,null,null,null,90,397,null,
25/07/2020,null,null,null,null,null,null,null,null,92,358,null,
26/07/2020,null,null,null,null,null,null,null,null,100,374,null,
27/07/2020,null,null,null,null,null,null,null,null,83,365,null,
28/07/2020,null,null,null,null,null,null,null,null,86,339,null,
29/07/2020,null,null,null,null,null,null,null,null,87,414,null,
30/07/2020,null,null,null,null,null,null,null,null,88,381,null,
31/07/2020,null,null,null,null,null,null,null,null,93,427,null,
01/08/2020,null,null,null,null,null,null,null,null,99,407,null,
02/08/2020,null,null,null,null,null,null,null,null,103,386,null,
03/08/2020,null,null,null,null,null,null,null,null,90,322,null,
04/08/2020,null,null,null,null,null,null,null,null,87,310,null,
05/08/2020,null,null,null,null,null,null,null,null,87,323,null,
06/08/2020,null,null,null,null,null,null,null,null,88,363,null,
07/08/2020,null,null,null,null,null,null,null,null,91,374,null,
08/08/2020,null,null,null,null,null,null,null,null,101,389,null,
09/08/2020,null,null,null,null,null,null,null,null,105,359,null,
10/08/2020,null,null,null,null,null,null,null,null,93,335,null,
11/08/2020,null,null,null,null,null,null,null,null,89,365,null,
12/08/2020,null,null,null,null,null,null,null,null,89,366,null,
13/08/2020,null,null,null,null,null,null,null,null,88,327,null,
14/08/2020,null,null,null,null,null,null,null,null,92,348,null,
15/08/2020,null,null,null,null,null,null,null,null,98,349,null,
16/08/2020,null,null,null,null,null,null,null,null,98,326,null,
17/08/2020,null,null,null,null,null,null,null,null,91,293,null,
18/08/2020,null,null,null,null,null,null,null,null,89,359,null,
19/08/2020,null,null,null,null,null,null,null,null,87,320,null,
20/08/2020,null,null,null,null,null,null,null,null,92,318,null,
21/08/2020,null,null,null,null,null,null,null,null,91,240,null,
22/08/2020,null,null,null,null,null,null,null,null,99,273,null,
23/08/2020,null,null,null,null,null,null,null,null,103,339,null,
24/08/2020,null,null,null,null,null,null,null,null,94,381,null,
25/08/2020,null,null,null,null,null,null,null,null,85,245,null,
26/08/2020,null,null,null,null,null,null,null,null,93,266,null,
27/08/2020,null,null,null,null,null,null,null,null,89,340,null,
28/08/2020,null,null,null,null,null,null,null,null,93,355,null,
29/08/2020,null,null,null,null,null,null,null,null,101,310,null,
30/08/2020,null,null,null,null,null,null,null,null,105,371,null,
31/08/2020,null,null,null,null,null,null,null,null,82,408,null,
01/09/2020,null,null,null,null,null,null,null,null,94,382,null,
02/09/2020,null,null,null,null,null,null,null,null,90,342,null,
03/09/2020,null,null,null,null,null,null,null,null,90,343,null,
04/09/2020,null,null,null,null,null,null,null,null,95,338,null,
05/09/2020,null,null,null,null,null,null,null,null,103,403,null,
06/09/2020,null,null,null,null,null,null,null,null,104,399,null,
07/09/2020,null,null,null,null,null,null,null,null,94,317,null,
08/09/2020,null,null,null,null,null,null,null,null,92,300,null,
09/09/2020,null,null,null,null,null,null,null,null,93,343,null,
10/09/2020,null,null,null,null,null,null,null,null,92,318,null,
11/09/2020,null,null,null,null,null,null,null,null,96,333,null,
12/09/2020,null,null,null,null,null,null,null,null,101,337,null,
13/09/2020,null,null,null,null,null,null,null,null,107,324,null,
14/09/2020,null,null,null,null,null,null,null,null,97,337,null,
15/09/2020,null,null,null,null,null,null,null,null,93,334,null,
16/09/2020,null,null,null,null,null,null,null,null,93,311,null,
17/09/2020,null,null,null,null,null,null,null,null,93,289,null,
18/09/2020,null,null,null,null,null,null,null,null,97,296,null,
19/09/2020,null,null,null,null,null,null,null,null,102,280,null,
20/09/2020,null,null,null,null,null,null,null,null,106,359,null,
21/09/2020,null,null,null,null,null,null,null,null,96,309,null,
22/09/2020,null,null,null,null,null,null,null,null,92,328,null,
23/09/2020,null,null,null,null,null,null,null,null,89,323,null,
24/09/2020,null,null,null,null,null,null,null,null,90,234,null,
25/09/2020,null,null,null,null,null,null,null,null,94,214,null,
26/09/2020,null,null,null,null,null,null,null,null,98,208,null,
27/09/2020,null,null,null,null,null,null,null,null,100,226,null,
28/09/2020,null,null,null,null,null,null,null,null,93,310,null,
29/09/2020,null,null,null,null,null,null,null,null,91,316,null,
30/09/2020,null,null,null,null,null,null,null,null,88,312,null,
01/10/2020,null,null,null,null,null,null,null,null,89,332,null,
02/10/2020,null,null,null,null,null,null,null,null,90,252,null,
03/10/2020,null,null,null,null,null,null,null,null,87,265,null,
04/10/2020,null,null,null,null,null,null,null,null,89,237,null,
05/10/2020,null,null,null,null,null,null,null,null,91,281,null,
06/10/2020,null,null,null,null,null,null,null,null,88,260,null,
07/10/2020,null,null,null,null,null,null,null,null,90,275,null,
08/10/2020,null,null,null,null,null,null,null,null,88,275,null,
09/10/2020,null,null,null,null,null,null,null,null,91,307,null,
10/10/2020,null,null,null,null,null,null,null,null,94,293,null,
11/10/2020,null,null,null,null,null,null,null,null,98,348,null,
12/10/2020,null,null,null,null,null,null,null,null,89,308,null,
13/10/2020,null,null,null,null,null,null,null,null,88,273,null,
14/10/2020,null,null,null,null,null,null,null,null,88,280,null,
15/10/2020,null,null,null,null,null,null,null,null,88,290,null,
16/10/2020,null,null,null,null,null,null,null,null,91,313,null,
17/10/2020,null,null,null,null,null,null,null,null,92,354,null,
18/10/2020,null,null,null,null,null,null,null,null,93,363,null,
19/10/2020,null,null,null,null,null,null,null,null,89,296,null,
20/10/2020,null,null,null,null,null,null,null,null,87,312,null,
21/10/2020,null,null,null,null,null,null,null,null,85,274,null,
22/10/2020,null,null,null,null,null,null,null,null,88,316,null,
23/10/2020,null,null,null,null,null,null,null,null,90,340,null,
24/10/2020,null,null,null,null,null,null,null,null,88,272,null,
25/10/2020,null,null,null,null,null,null,null,null,91,290,null,
26/10/2020,null,null,null,null,null,null,null,null,87,307,null,
27/10/2020,null,null,null,null,null,null,null,null,83,288,null,
28/10/2020,null,null,null,null,null,null,null,null,85,262,null,
29/10/2020,null,null,null,null,null,null,null,null,82,294,null,
30/10/2020,null,null,null,null,null,null,null,null,86,289,null,
31/10/2020,null,null,null,null,null,null,null,null,86,265,null,
01/11/2020,null,null,null,null,null,null,null,null,89,239,null,
02/11/2020,null,null,null,null,null,null,null,null,92,243,null,
03/11/2020,null,null,null,null,null,null,null,null,92,273,null,
04/11/2020,null,null,null,null,null,null,null,null,96,339,null,
05/11/2020,null,null,null,null,null,null,null,null,73,318,null,
06/11/2020,null,null,null,null,null,null,null,null,72,328,null,
07/11/2020,null,null,null,null,null,null,null,null,65,347,null,
08/11/2020,null,null,null,null,null,null,null,null,60,300,null,
09/11/2020,null,null,null,null,null,null,null,null,76,null,null,
