AREANM,AREACD,value
North East,E12000001,3.628401627
North West,E12000002,12.19111667
Yorkshire and the Humber,E12000003,7.507037848
East Midlands,E12000004,6.568658117
West Midlands,E12000005,7.507037848
East ,E12000006,11.47951204
London,E12000007,13.10603691
South East,E12000008,15.13919299
South West,E12000009,8.680012512
Wales,W92000004,3.964654363
Scotland,S92000003,10.22833907
